Pos	Num	Player Name                   	Status	TCKL	SCK	INT	Team
DB	26	Adams, Andrew                 	ACT	38	0.0	4	DET
SS	33	Adams, Jamal                  	ACT	115	3.5	1	NYJ
FS	29	Adams, Mike                   	UFA	75	0.0	3	CAR
SS	37	Addae, Jahleel                	UFA	75	1.0	1	LAC
CB	39	Agnew, Jamal                  	ACT	7	0.0	--	DET
DB	35	Aikens, Walt                  	ACT	11	0.0	1	MIA
DB	39	Alexander, Adonis             	ACT	4	0.0	--	WAS
CB	23	Alexander, Jaire              	ACT	66	0.5	1	GB
CB	20	Alexander, Mackensie          	ACT	43	4.0	--	MIN
DB	35	Alexander, Maurice            	ACT	10	0.0	--	BUF
CB	23	Alford, Robert                	ACT	50	0.0	--	ARI
CB	29	Allen, Brian                  	ACT	1	0.0	--	PIT
DB	27	Allen, Marcus                 	ACT	2	0.0	--	PIT
FS	37	Allen, Ricardo                	ACT	17	0.0	1	ATL
DB	38	Amerson, David                	ACT	21	0.0	1	ARI
SS	38	Amos, Adrian                  	ACT	73	1.0	2	GB
CB	20	Amukamara, Prince             	ACT	66	0.0	3	CHI
DB	30	Apke, Troy                    	ACT	1	0.0	--	WAS
CB	25	Apple, Eli                    	ACT	75	0.0	2	NO
DB	31	Armstrong, Cornell            	ACT	8	0.0	--	MIA
CB	28	Averett, Anthony              	ACT	5	0.0	--	BAL
CB	24	Awuzie, Chidobe               	ACT	71	0.0	1	DAL
DB	23	Bademosi, Johnson             	ACT	10	0.0	--	HOU
SS	36	Baker, Budda                  	ACT	102	2.0	--	ARI
DB	31	Banjo, Chris                  	ACT	10	0.0	2	NO
FS	30	Bates, Jessie                 	ACT	111	0.0	3	CIN
CB	41	Bausby, DeVante               	ACT	14	0.0	--	DEN
DB	41	Beal, Sam                     	ACT	--	--	--	NYG
SS	24	Bell, Vonn                    	ACT	89	1.0	--	NO
CB	37	Benwikere, Bene'              	UFA	54	0.5	1	OAK
DB	31	Berhe, Nat                    	UFA	3	0.0	--	PIT
DB	29	Berry, Eric                   	UFA	11	0.0	--	KC
FS	41	Bethea, Antoine               	ACT	121	3.0	--	NYG
DB	28	Bethel, Justin                	ACT	14	0.0	--	BAL
DB	41	Blanding, Quin                	ACT	--	--	--	CAR
CB	20	Boddy-Calhoun, Briean         	ACT	56	0.0	--	HOU
CB	31	Borders, Breon                	ACT	0	--	--	JAX
DB	33	Boston, Tre                   	UFA	79	0.0	3	ARI
CB	21	Bouye, A.J.                   	ACT	54	0.0	1	JAX
DB	1	Boykins, Jeremy               	ACT	--	--	--	SEA
CB	24	Bradberry, James              	ACT	70	1.0	1	CAR
DB	38	Branch, Marcelis              	ACT	--	--	--	PIT
DB	26	Breeland, Bashaud             	ACT	20	0.0	2	KC
SS	29	Brice, Kentrell               	ACT	50	1.0	--	TB
DB	22	Brock, Tramaine               	ACT	23	0.0	--	ARI
DB	23	Brooks, Terrence              	ACT	10	0.0	--	NE
CB	30	Brown, Anthony                	ACT	44	2.0	1	DAL
DB		Brown, Cody                   	ACT	--	--	--	JAX
DB	28	Brown, Tony                   	ACT	34	0.0	--	GB
DB	38	Bryant, Brandon               	ACT	0	--	--	NYJ
SS	42	Burnett, Morgan               	ACT	30	0.0	--	CLE
CB	25	Burns, Artie                  	ACT	22	0.0	--	PIT
CB	31	Burris, Juston                	ACT	2	0.0	0	CLE
DB	39	Burton, Deante                	ACT	5	0.0	0	HOU
DB	26	Bush, Deon                    	ACT	8	1.0	--	CHI
DB	20	Bush, Rafael                  	ACT	45	1.5	--	BUF
CB	21	Butler, Malcolm               	ACT	69	1.0	3	TEN
FS	31	Byard, Kevin                  	ACT	90	2.0	4	TEN
CB	40	Calhoun, Taveze               	ACT	--	--	--	ATL
CB	37	Callahan, Bryce               	ACT	45	2.0	2	DEN
DB	33	Campbell, Chris               	ACT	--	--	--	NO
DB	39	Campbell, Ibraheim            	UFA	19	0.0	0	GB
DB		Campbell, Tevaughn            	ACT	--	--	--	NYJ
CB	26	Canady, Maurice               	ACT	5	0.0	--	BAL
CB	24	Carr, Brandon                 	ACT	45	0.0	2	BAL
DB	38	Carrie, T.J.                  	ACT	74	1.0	1	CLE
CB	34	Carter, Alex                  	ACT	0	--	--	WAS
DB	20	Carter, Jamal                 	ACT	--	--	--	DEN
DB	36	Chachere, Andre               	ACT	0	--	--	DET
DB	31	Chancellor, Kam               	ACT	--	--	--	SEA
DB	36	Chandler, Sean                	ACT	18	1.0	--	NYG
DB	41	Christian, Marqui             	ACT	36	0.0	--	LA
SS	23	Chung, Patrick                	ACT	84	0.5	1	NE
CB	21	Claiborne, Morris             	UFA	57	0.0	2	NYJ
DB	36	Clark, Chuck                  	ACT	21	0.0	1	BAL
CB	34	Clark, Jeremy                 	ACT	0	--	--	NYJ
SS	20	Clinton-Dix, Ha Ha            	ACT	93	1.0	3	CHI
DB	47	Cockrell, Ross                	ACT	--	--	--	CAR
FS	27	Colbert, Adrian               	ACT	21	0.0	--	SF
CB	28	Coleman, Justin               	ACT	55	0.5	1	DET
SS	29	Coleman, Kurt                 	UFA	32	0.0	--	NO
CB	32	Collins, Jalen                	ACT	0	--	--	IND
SS	20	Collins, Landon               	ACT	96	0.0	--	WAS
CB	22	Colvin, Aaron                 	ACT	29	0.0	--	HOU
CB	21	Conley, Gareon                	ACT	37	0.0	3	OAK
FS	23	Conte, Chris                  	UFA	14	0.0	--	TB
DB	37	Cooper, Chris                 	ACT	--	--	--	ATL
DB	21	Cooper, Marcus                	ACT	1	0.0	0	DET
CB	24	Countess, Blake               	ACT	9	0.0	1	LA
DB	27	Cox, Demetrious               	ACT	--	--	--	CIN
DB	21	Cravens, Su'a                 	ACT	18	0.0	--	DEN
CB	20	Crawley, Ken                  	ACT	31	0.0	--	NO
DB	35	Crossen, Keion                	ACT	14	0.0	--	NE
DB	29	Cruikshank, Dane              	ACT	11	0.0	--	TEN
DB	37	Cyprien, Johnathan            	UFA	--	--	--	TEN
DB	37	Dangerfield, Jordan           	ACT	7	0.0	--	PIT
