NFL Teams,Super Bowl Championships,Super Bowl Year
Cardinals,49ers,1982
Falcons,49ers,1985
Ravens,49ers,1989
Bills,49ers,1990
Panthers,49ers,1995
Bears,Bears,1986
Bengals,Broncos,1998
Browns,Broncos,1999
Cowboys,Broncos,2016
Broncos,Buccaneers,2003
Lions,Chiefs,1970
Packers,Colts,1971
Texans,Colts,2007
Colts,Cowboys,1972
Jaguars,Cowboys,1978
Chiefs,Cowboys,1993
Dolphins,Cowboys,1994
Vikings,Cowboys,1996
Patriots,Dolphins,1973
Saints,Dolphins,1974
Giants,Eagles,2018
Jets,Giants,1987
Raiders,Giants,1991
Eagles,Giants,2008
Steelers,Giants,2012
Chargers,Jets,1969
49ers,Packers,1967
Seahawks,Packers,1968
Rams,Packers,1997
Buccaneers,Packers,2011
Titans,Patriots,2002
Redskins,Patriots,2004
,Patriots,2005
,Patriots,2015
,Patriots,2017
,Raiders,1977
,Raiders,1981
,Raiders,1984
,Rams,2000
,Ravens,2001
,Ravens,2013
,Redskins,1983
,Redskins,1988
,Redskins,1992
,Saints,2010
,Seahawks,2014
,Steelers,1975
,Steelers,1976
,Steelers,1979
,Steelers,1980
,Steelers,2006
,Steelers,2009
