NFL Teams,Super Bowl Championships,Super Bowl Year
Cardinals,Packers,1967
Falcons,Packers,1968
Ravens,Jets,1969
Bills,Chiefs,1970
Panthers,Colts,1971
Bears,Cowboys,1972
Bengals,Dolphins,1973
Browns,Dolphins,1974
Cowboys,Steelers,1975
Broncos,Steelers,1976
Lions,Raiders,1977
Packers,Cowboys,1978
Texans,Steelers,1979
Colts,Steelers,1980
Jaguars,Raiders,1981
Chiefs,49ers,1982
Dolphins,Redskins,1983
Vikings,Raiders,1984
Patriots,49ers,1985
Saints,Bears,1986
Giants,Giants,1987
Jets,Redskins,1988
Raiders,49ers,1989
Eagles,49ers,1990
Steelers,Giants,1991
Chargers,Redskins,1992
49ers,Cowboys,1993
Seahawks,Cowboys,1994
Rams,49ers,1995
Buccaneers,Cowboys,1996
Titans,Packers,1997
Redskins,Broncos,1998
,Broncos,1999
,Rams,2000
,Ravens,2001
,Patriots,2002
,Buccaneers,2003
,Patriots,2004
,Patriots,2005
,Steelers,2006
,Colts,2007
,Giants,2008
,Steelers,2009
,Saints,2010
,Packers,2011
,Giants,2012
,Ravens,2013
,Seahawks,2014
,Patriots,2015
,Broncos,2016
,Patriots,2017
,Eagles,2018
